measurement_index,repeat,R_H_raw,R_xx_raw
0,1,6.36412038096e-12,7.36557457802e-12
1,1,6.68218627333e-12,7.80175802541e-12
2,1,7.43869976991e-12,8.36289532034e-12
3,1,9.0534636265e-12,9.24637162572e-12
4,1,9.76661765166e-12,9.02173162449e-12
5,1,9.37597858499e-12,9.91436697122e-12
6,1,9.76817911519e-12,1.00680024955e-11
7,1,9.86306969361e-12,1.12399439459e-11
8,1,1.05548478327e-11,1.08845117382e-11
9,1,1.14167485522e-11,1.19058338323e-11
10,1,1.19286779178e-11,1.37885765994e-11
11,1,1.39379585877e-11,1.57992241922e-11
12,1,1.36905203091e-11,1.59272201218e-11
13,1,1.43887111855e-11,1.76326464648e-11
14,1,1.50430228677e-11,1.94188356071e-11
15,1,1.56816489495e-11,1.98483072452e-11
16,1,1.5447852088e-11,2.11467028172e-11
17,1,1.53943928537e-11,2.03701644998e-11
18,1,1.4981361025e-11,2.38892809986e-11
19,1,1.44832463862e-11,2.58448258697e-11
20,1,1.3552914946e-11,2.57759586165e-11
21,1,8.99938389906e-12,2.87802500868e-11
22,1,6.33739924451e-12,2.95932999766e-11
23,1,-2.69981678915e-12,3.11721261852e-11
24,1,-4.04138237346e-12,3.09994407219e-11
25,1,-3.52718195919e-12,3.00235108997e-11
26,1,-4.49447356441e-12,3.10662232442e-11
27,1,-5.5326160059e-12,2.96606451228e-11
28,1,-8.47624939152e-12,2.90245938781e-11
29,1,-8.97449698432e-12,2.92411014881e-11
30,1,-1.21418416909e-11,2.74552890536e-11
31,1,-1.2438542977e-11,2.72375662804e-11
32,1,-1.23627669204e-11,2.73730126455e-11
33,1,-1.47395226454e-11,2.34315293199e-11
34,1,-1.50455970359e-11,2.32559745744e-11
35,1,-1.54524468618e-11,2.21690732603e-11
36,1,-1.56164161747e-11,2.26446080023e-11
37,1,-1.55428312272e-11,2.12731558337e-11
38,1,-1.58411757988e-11,2.0833043257e-11
39,1,-1.49272058471e-11,2.25531241664e-11
40,1,-1.5434841131e-11,2.00726879455e-11
41,1,-1.5443976204e-11,1.90873444216e-11
42,1,-1.29402338232e-11,1.41703550262e-11
43,1,-1.19674971138e-11,1.33157623928e-11
44,1,-1.13737650515e-11,1.23491820938e-11
45,1,-9.85491795892e-12,1.08146875713e-11
46,1,-9.29117369077e-12,9.83528007327e-12
47,1,-6.96099414234e-12,7.02984324005e-12
48,1,-2.47111263039e-12,3.54056027037e-12
49,1,-2.47419951038e-12,4.35357440665e-12
50,1,-2.24426179156e-12,3.26934235822e-12
51,1,-1.72990889189e-12,2.21837902082e-12
52,1,-1.33989620224e-12,2.22104852644e-12
53,1,-1.42340764396e-12,2.99039550677e-12
54,1,-1.53374927248e-12,2.29175440551e-12
0,2,6.44809427256e-12,7.95046478888e-12
1,2,6.68688883733e-12,8.27422881992e-12
2,2,7.70071423865e-12,7.41351586918e-12
3,2,8.86558914163e-12,9.23415197815e-12
4,2,9.51750756729e-12,9.68907324312e-12
5,2,9.79168124062e-12,9.4277751644e-12
6,2,9.42390611726e-12,9.06764779881e-12
7,2,9.40981392384e-12,1.01306003037e-11
8,2,1.06222885277e-11,1.13580444559e-11
9,2,1.06442795952e-11,1.11761430563e-11
10,2,1.17874673913e-11,1.31095834112e-11
11,2,1.47930544789e-11,1.54464905393e-11
12,2,1.43285934438e-11,1.66369519411e-11
13,2,1.40535328711e-11,1.67343463574e-11
14,2,1.54356426793e-11,1.95724489166e-11
15,2,1.51966816821e-11,2.01832647467e-11
16,2,1.55438957632e-11,1.96478495522e-11
17,2,1.53034001847e-11,2.09013772123e-11
18,2,1.55031374231e-11,2.44591705393e-11
19,2,1.44130032861e-11,2.54907410462e-11
20,2,1.41004523282e-11,2.61632563465e-11
21,2,9.12524745992e-12,2.88543333552e-11
22,2,6.03256538578e-12,2.97114305124e-11
23,2,-3.06613188398e-12,2.93309598497e-11
24,2,-3.71771641933e-12,3.09836496455e-11
25,2,-3.6650040001e-12,2.91808033037e-11
26,2,-4.62626804097e-12,3.12248801397e-11
27,2,-5.55204189682e-12,3.05146616975e-11
28,2,-7.96598214338e-12,2.86878511582e-11
29,2,-8.3477759028e-12,2.9173349947e-11
30,2,-1.14723014106e-11,2.77245550083e-11
31,2,-1.21276477158e-11,2.69038077031e-11
32,2,-1.22356298211e-11,2.72342067356e-11
33,2,-1.47735527862e-11,2.38101015374e-11
34,2,-1.55490534196e-11,2.39794926128e-11
35,2,-1.55436511476e-11,2.33609563098e-11
36,2,-1.49497131266e-11,2.24089779648e-11
37,2,-1.55946116018e-11,2.19670077103e-11
38,2,-1.5884982236e-11,2.11621985232e-11
39,2,-1.53194287655e-11,2.15156911745e-11
40,2,-1.52027371525e-11,1.90707420201e-11
41,2,-1.49401600587e-11,1.8536386617e-11
42,2,-1.28981098912e-11,1.41917186358e-11
43,2,-1.14405219918e-11,1.24455259584e-11
44,2,-1.13975410803e-11,1.20941540189e-11
45,2,-1.0071575657e-11,1.16279922507e-11
46,2,-9.12677115648e-12,8.41989467944e-12
47,2,-6.56509176752e-12,8.131694473e-12
48,2,-2.66744175315e-12,3.72455648694e-12
49,2,-1.94739492519e-12,4.16941863943e-12
50,2,-1.75003514334e-12,3.67085502785e-12
51,2,-1.65610597658e-12,3.28332043238e-12
52,2,-1.03450995158e-12,2.18072172677e-12
53,2,-1.17316359412e-12,2.97750458945e-12
54,2,-1.19466100415e-12,2.01891456947e-12
0,3,6.60442664758e-12,6.75022760656e-12
1,3,6.24383077582e-12,7.64726586371e-12
2,3,7.40224506989e-12,7.90958750598e-12
3,3,8.49542691202e-12,8.50167983364e-12
4,3,9.53737165018e-12,9.50954904057e-12
5,3,9.44417094484e-12,8.92967517536e-12
6,3,9.73152843072e-12,1.12117780872e-11
7,3,9.97627832512e-12,1.07355544916e-11
8,3,1.07779508223e-11,1.19322249859e-11
9,3,1.12705904957e-11,1.21883090883e-11
10,3,1.20967558269e-11,1.37886952111e-11
11,3,1.36686121636e-11,1.53190646967e-11
12,3,1.44707930807e-11,1.72779791127e-11
13,3,1.42698445558e-11,1.71489083392e-11
14,3,1.53950896879e-11,2.00639220322e-11
15,3,1.54358322489e-11,1.95490344159e-11
16,3,1.48609038515e-11,1.92556200057e-11
17,3,1.55581043856e-11,2.26438999051e-11
18,3,1.56462989195e-11,2.47431633095e-11
19,3,1.47528531988e-11,2.45178049084e-11
20,3,1.34183057035e-11,2.65737179265e-11
21,3,9.49093309104e-12,2.93925550735e-11
22,3,5.52240825968e-12,3.04250778543e-11
23,3,-2.41147497974e-12,3.04959223894e-11
24,3,-3.38371048759e-12,3.0696568466e-11
25,3,-3.63630709773e-12,3.00403760785e-11
26,3,-4.55311868757e-12,2.98608131481e-11
27,3,-5.05089922395e-12,3.03076995681e-11
28,3,-8.49017001199e-12,3.0008535886e-11
29,3,-8.53072740459e-12,2.94186888732e-11
30,3,-1.18440768571e-11,2.87391313261e-11
31,3,-1.24292488847e-11,2.74139883629e-11
32,3,-1.28241171045e-11,2.78675895263e-11
33,3,-1.46908443246e-11,2.56171376447e-11
34,3,-1.51192885766e-11,2.37787710821e-11
35,3,-1.541195421e-11,2.28356381006e-11
36,3,-1.59475310892e-11,2.26306688532e-11
37,3,-1.51496653596e-11,2.09716592684e-11
38,3,-1.53817042422e-11,2.22352592688e-11
39,3,-1.56907331728e-11,2.12812224203e-11
40,3,-1.50568429214e-11,1.95339497706e-11
